district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง
ควนขนุน,ควนขนุน,6,partylist,election_day,374,361,8,5,0,0,0,0,1,1,2,0,0,62,2,157,5,0,1,1,0,2,1,0,0,0,0,0,89,0,1,0,4,0,0,0,0,0,0,0,3,0,0,17,4,1,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0
ควนขนุน,ควนขนุน,7,partylist,election_day,208,204,4,0,0,0,0,0,0,0,2,0,0,20,0,101,0,0,0,0,1,1,0,0,0,0,0,0,48,0,0,2,6,0,0,0,0,0,0,0,3,0,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
ควนขนุน,ควนขนุน,8,partylist,election_day,80,78,1,1,0,0,0,0,0,0,0,0,0,15,0,23,2,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ควนขนุน,ชะมวง,0,partylist,election_day,573,564,7,2,0,0,0,0,0,0,0,0,0,80,0,316,2,0,3,0,0,6,0,1,1,0,1,0,101,1,0,2,10,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,2,0,1,0,6,0,0,0,4,0,0,0
ควนขนุน,ชะมวง,1,partylist,election_day,194,177,11,6,0,0,0,0,0,0,1,0,0,14,0,83,3,0,0,0,0,2,0,0,0,0,0,0,46,0,0,0,6,0,0,0,0,0,0,0,3,0,0,12,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
ควนขนุน,ชะมวง,2,partylist,election_day,545,523,13,9,0,1,0,0,0,0,1,0,1,51,1,305,0,0,0,0,0,7,0,0,0,1,0,0,96,0,1,1,2,1,0,1,0,0,0,0,2,1,0,26,5,5,0,0,0,1,0,0,0,9,0,0,0,4,0,0,0
ควนขนุน,ชะมวง,3,partylist,election_day,185,180,2,3,1,0,0,0,0,0,2,0,0,27,2,80,3,0,0,1,0,2,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,4,partylist,election_day,511,490,16,5,0,2,0,0,1,0,0,0,0,45,0,278,4,0,1,1,0,4,0,0,0,0,0,0,91,0,0,4,2,1,0,0,1,0,0,0,3,0,2,38,2,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0
ควนขนุน,ชะมวง,5,partylist,election_day,326,317,4,5,0,0,0,0,1,0,1,0,0,33,2,162,1,0,0,0,0,6,1,0,0,1,0,0,77,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,5,1,0,1,0,0,0,0,1,6,0,2,0,3,0,1,0
ควนขนุน,ชะมวง,6,partylist,election_day,394,376,13,5,0,0,0,0,1,0,1,0,0,36,0,201,3,0,0,0,0,1,1,0,0,0,0,0,100,0,2,2,3,0,0,0,1,0,0,0,5,0,0,10,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
ควนขนุน,ชะมวง,7,partylist,election_day,360,342,16,2,0,1,0,0,0,0,1,0,0,83,3,135,0,0,0,1,1,3,2,2,0,0,0,1,70,1,0,1,7,0,0,0,0,0,0,0,2,0,0,12,2,1,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0
ควนขนุน,ชะมวง,8,partylist,election_day,328,316,8,4,0,0,0,0,1,1,1,0,0,59,0,114,2,0,0,0,0,1,0,1,0,0,0,0,84,0,0,1,6,1,0,0,0,0,0,0,0,0,0,30,2,2,0,1,0,1,0,1,2,1,0,1,0,2,0,1,0
ควนขนุน,ชะมวง,9,partylist,election_day,196,188,6,2,0,2,0,0,0,0,1,0,0,43,0,51,3,0,1,0,0,1,0,1,0,0,0,0,52,0,0,0,3,0,1,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ควนขนุน,ชะมวง,10,partylist,election_day,486,463,18,5,0,1,0,0,0,0,3,0,0,49,0,244,2,0,1,1,0,6,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,2,0,2,37,1,0,1,0,0,0,1,1,2,4,0,1,1,0,0,0,0
ควนขนุน,ชะมวง,11,partylist,election_day,296,276,13,7,0,0,0,1,0,0,2,0,0,35,0,150,2,0,1,0,0,2,0,0,0,0,0,0,50,0,1,0,2,0,0,0,0,0,0,0,5,0,0,16,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,12,partylist,election_day,462,445,10,7,0,0,0,0,3,0,1,0,0,51,2,274,11,0,0,0,0,3,1,0,0,1,0,0,43,0,2,0,5,0,0,0,0,0,0,0,1,0,3,26,4,1,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0
ควนขนุน,ชะมวง,13,partylist,election_day,588,555,28,5,0,0,0,1,0,0,2,0,0,85,0,315,3,0,0,0,0,4,0,0,0,0,0,0,88,1,2,2,5,0,0,0,0,0,0,0,2,0,1,27,11,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0
ควนขนุน,ชะมวง,14,partylist,election_day,366,351,9,6,0,0,0,0,1,0,0,0,1,35,0,227,3,0,0,0,0,3,0,0,0,0,0,1,39,0,0,1,1,0,1,0,0,0,0,0,6,0,2,16,1,1,0,0,0,0,0,1,1,4,0,3,0,3,0,0,0
กงหรา2,ชะรัด,0,partylist,election_day,593,562,17,14,0,0,0,0,0,0,2,0,3,48,2,357,4,1,1,0,0,4,0,1,0,0,0,0,78,5,0,1,3,1,0,0,1,0,0,0,4,0,5,14,6,0,0,1,0,0,0,0,6,11,0,2,0,0,0,0,1
กงหรา2,ชะรัด,1,partylist,election_day,419,398,20,1,0,1,0,0,0,0,1,0,1,66,2,210,5,0,0,0,0,7,1,0,0,0,0,0,75,1,1,0,1,0,3,0,1,0,0,0,0,0,3,8,1,1,0,0,0,1,0,0,3,4,0,0,0,0,1,0,0
กงหรา2,ชะรัด,2,partylist,election_day,655,631,16,8,0,0,0,0,3,1,2,0,2,90,5,390,7,0,3,0,0,5,1,0,0,1,0,0,55,0,0,1,5,0,2,0,1,0,0,1,4,0,3,27,2,2,0,2,0,0,0,0,0,12,0,2,0,2,0,0,0
กงหรา2,ชะรัด,3,partylist,election_day,331,308,16,7,0,2,0,0,0,0,1,0,0,44,6,171,4,0,0,1,0,2,1,0,0,0,0,0,37,0,0,1,4,0,0,0,0,0,0,0,0,0,1,23,3,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0
กงหรา2,ชะรัด,4,partylist,election_day,399,383,14,2,0,0,0,0,0,0,0,0,0,69,7,170,0,0,3,0,1,7,0,0,0,0,1,0,55,2,2,2,3,0,0,0,0,0,0,0,5,2,1,41,7,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
กงหรา2,ชะรัด,5,partylist,election_day,429,412,15,2,0,8,0,0,0,0,4,0,0,74,1,172,3,0,1,0,0,13,1,0,0,0,0,0,75,0,1,2,2,0,0,0,0,0,0,0,4,0,0,37,4,0,0,0,0,1,0,0,1,4,0,1,0,2,0,0,1
กงหรา2,ชะรัด,6,partylist,election_day,277,271,3,3,0,1,0,0,1,0,0,0,0,26,0,153,3,0,0,0,0,0,0,0,0,1,0,0,65,0,0,1,3,0,1,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
กงหรา2,ชะรัด,7,partylist,election_day,617,592,15,10,0,1,0,0,3,0,2,0,0,69,1,359,6,0,1,0,0,5,1,0,0,1,0,0,99,0,2,1,5,2,1,0,0,0,0,0,2,2,1,8,4,0,0,0,0,1,2,1,2,7,0,1,0,1,1,0,0
กงหรา2,ชะรัด,8,partylist,election_day,383,360,13,10,0,0,0,0,1,0,0,0,0,49,2,222,5,0,0,0,0,7,0,1,0,0,0,0,43,0,0,1,4,0,1,0,0,0,0,0,2,0,1,11,3,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0
กงหรา2,ชะรัด,9,partylist,election_day,517,490,22,5,0,0,0,0,1,1,3,1,3,42,3,313,1,1,0,1,0,5,0,0,1,0,0,0,69,1,1,0,5,0,2,0,0,0,0,0,4,0,2,11,5,1,0,0,1,1,0,1,0,7,0,1,0,1,1,0,0
ศรีนครินทร์,ชุมพล,0,partylist,election_day,645,596,25,24,0,0,0,0,0,0,3,0,1,89,1,341,3,0,0,1,0,7,0,0,0,2,1,1,63,0,3,3,7,0,2,0,2,0,0,0,2,1,2,35,8,2,0,1,1,2,0,0,5,2,0,3,1,0,0,1,0
ศรีนครินทร์,ชุมพล,1,partylist,election_day,345,328,12,5,1,1,1,0,0,0,1,0,1,45,1,212,4,0,0,0,0,6,0,0,0,0,1,0,15,0,1,1,2,0,0,0,0,0,0,0,2,0,0,19,5,2,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0
ศรีนครินทร์,ชุมพล,2,partylist,election_day,363,339,16,8,0,2,0,1,0,0,0,0,0,71,0,153,5,0,2,0,0,4,1,1,0,1,0,0,30,0,2,2,7,0,0,0,0,1,0,2,1,0,1,37,7,1,0,1,0,1,0,0,2,1,0,0,0,2,0,0,0
ศรีนครินทร์,ชุมพล,3,partylist,election_day,418,375,19,24,1,6,2,0,0,0,13,1,1,66,1,85,5,0,0,1,0,11,0,0,0,3,0,0,45,3,3,8,8,0,0,1,0,2,0,0,24,0,0,38,18,1,0,0,0,0,1,0,1,23,0,0,0,2,0,1,0
ศรีนครินทร์,ชุมพล,4,partylist,election_day,402,384,13,5,0,1,1,0,1,0,3,0,1,50,0,248,5,0,1,0,0,6,0,1,0,1,0,0,27,0,1,1,2,0,0,0,1,0,0,0,2,0,0,22,1,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0
ศรีนครินทร์,ชุมพล,5,partylist,election_day,493,455,22,16,0,0,0,0,1,0,1,0,0,56,1,269,7,0,0,2,0,8,2,1,0,1,0,0,53,1,2,0,6,1,0,2,0,0,0,1,1,1,0,25,2,5,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0
ศรีนครินทร์,ชุมพล,6,partylist,election_day,274,259,5,10,0,0,0,0,0,0,1,0,0,41,0,150,2,0,0,0,0,3,0,0,0,1,1,0,25,0,0,3,2,0,1,0,0,0,0,0,1,0,1,14,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,7,partylist,election_day,637,604,20,13,0,1,0,0,0,0,11,1,0,134,0,301,3,0,3,0,0,3,1,2,0,0,0,0,66,1,2,3,5,0,0,0,1,1,0,0,5,0,0,36,4,3,0,2,0,1,0,2,1,2,0,1,0,6,0,2,0
ศรีนครินทร์,ชุมพล,8,partylist,election_day,290,274,9,7,0,0,0,0,1,0,0,0,1,35,0,176,3,0,1,0,0,2,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,9,partylist,election_day,349,331,9,9,0,1,0,1,1,0,1,0,1,35,0,206,1,0,1,0,0,5,0,0,0,0,0,0,31,1,1,0,4,0,0,0,1,0,0,0,2,0,1,26,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
ศรีนครินทร์,ชุมพล,10,partylist,election_day,547,526,21,0,0,0,0,1,1,0,7,0,0,75,0,310,6,0,1,0,0,10,0,2,1,1,0,0,44,0,0,0,4,0,0,0,0,0,0,0,3,0,4,37,3,0,0,1,0,1,0,0,1,7,0,0,0,3,0,0,3
ศรีนครินทร์,ชุมพล,11,partylist,election_day,244,224,11,9,0,1,0,0,0,0,0,1,0,35,0,118,3,0,0,0,0,7,0,1,0,1,0,0,20,0,1,1,2,0,1,0,0,0,0,0,0,0,1,22,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,12,partylist,election_day,254,245,3,6,2,0,0,0,0,0,2,1,0,24,0,179,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,3,1,0,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
ศรีนครินทร์,ชุมพล,13,partylist,election_day,275,260,10,5,0,0,0,0,1,0,1,0,0,28,0,166,2,0,1,1,0,3,0,0,0,0,0,0,20,0,3,4,0,0,0,0,0,0,1,0,3,0,0,18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ศรีนครินทร์,ชุมพล,14,partylist,election_day,247,242,5,0,0,0,0,0,1,0,4,0,0,33,0,154,2,1,1,0,0,2,1,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,0,0,2,1,1,14,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ควนขนุน,ดอนทราย,0,partylist,election_day,206,202,2,2,0,1,0,0,1,0,0,0,0,27,0,105,1,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0
ควนขนุน,ดอนทราย,1,partylist,election_day,372,357,10,5,1,1,0,0,1,0,3,0,0,68,0,193,4,0,1,0,0,1,0,0,0,0,0,1,52,0,0,1,3,0,0,0,1,0,0,0,0,1,1,14,3,1,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0
ควนขนุน,ดอนทราย,2,partylist,election_day,301,286,11,4,0,3,0,0,0,0,0,0,0,26,0,196,2,0,1,0,0,1,0,0,0,0,0,0,27,0,1,0,5,0,0,0,0,1,0,0,0,1,2,7,4,2,0,0,0,2,1,0,1,2,0,0,0,1,0,0,0
ควนขนุน,ดอนทราย,3,partylist,election_day,255,246,3,6,0,1,0,0,2,0,1,0,0,30,0,109,3,0,0,0,0,1,0,0,0,0,0,0,70,0,1,2,10,0,1,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0
ควนขนุน,ดอนทราย,4,partylist,election_day,475,456,15,4,1,2,0,0,0,0,1,0,0,43,2,281,8,0,0,0,0,3,0,0,0,0,0,0,75,0,2,1,2,0,0,0,1,1,0,0,1,0,1,6,11,0,0,0,4,2,1,0,0,2,0,2,0,3,0,0,0
ควนขนุน,ดอนทราย,5,partylist,election_day,284,279,2,3,0,1,0,0,1,0,1,0,0,32,0,126,1,0,1,0,0,1,0,0,0,1,0,0,76,1,1,1,8,0,0,0,0,0,0,0,3,0,1,8,1,1,0,0,0,0,0,0,0,3,0,2,0,7,0,0,1
ควนขนุน,ดอนทราย,6,partylist,election_day,528,504,20,4,0,0,1,0,1,1,5,1,1,68,0,257,2,0,0,2,0,1,1,0,0,1,0,1,114,0,1,2,9,0,0,0,0,0,0,0,1,0,0,16,6,2,0,0,0,0,0,1,0,3,1,1,0,1,0,1,2
ควนขนุน,ดอนทราย,7,partylist,election_day,262,255,5,2,0,0,0,0,0,0,0,0,0,34,1,120,3,0,0,0,0,3,0,0,0,0,0,0,63,1,0,0,2,0,0,0,1,0,0,1,0,0,0,15,3,1,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0
ควนขนุน,ดอนทราย,8,partylist,election_day,586,568,15,3,1,9,1,0,1,0,1,0,0,68,0,368,5,0,0,0,0,3,0,0,0,0,0,0,68,1,2,1,1,0,0,0,2,2,0,0,1,1,2,15,2,2,0,1,0,2,1,0,1,3,0,0,0,3,0,0,0
ควนขนุน,ดอนทราย,9,partylist,election_day,379,367,6,6,0,0,0,0,0,0,1,0,0,42,0,214,1,0,0,0,0,0,0,1,0,0,0,0,74,1,0,0,2,0,0,0,0,0,0,0,1,0,2,10,6,1,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0
ควนขนุน,ดอนทราย,10,partylist,election_day,264,252,10,2,1,0,0,0,2,0,0,0,0,23,0,151,1,0,1,0,0,3,0,0,0,0,0,0,36,0,0,1,8,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,1,0,2,0,5,0,1,0,3,0,0,0
ศรีบรรพต,ตะแพน,0,partylist,election_day,340,329,9,2,0,2,0,0,0,0,2,0,1,31,0,208,3,0,2,0,0,3,0,0,0,0,0,0,40,0,0,0,3,0,0,1,0,0,0,1,2,0,0,19,5,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0
ศรีบรรพต,ตะแพน,1,partylist,election_day,603,582,15,6,0,0,0,0,0,0,2,0,0,98,2,272,4,0,0,0,0,4,0,0,0,0,0,0,121,0,1,1,3,1,0,1,0,0,0,0,3,2,0,40,9,0,0,2,0,0,0,1,2,8,0,0,0,3,0,1,1
ศรีบรรพต,ตะแพน,2,partylist,election_day,335,323,4,8,0,0,0,1,1,0,0,0,0,55,2,208,3,0,0,0,0,8,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,1,0,2,15,2,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1
ศรีบรรพต,ตะแพน,3,partylist,election_day,144,143,1,0,0,0,0,0,0,0,1,0,0,24,0,86,1,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ศรีบรรพต,ตะแพน,4,partylist,election_day,549,522,18,9,0,5,0,1,0,1,3,0,0,111,0,297,5,0,1,0,1,6,0,0,0,0,0,0,40,0,1,1,3,2,1,0,0,0,0,0,2,1,1,20,5,1,0,0,1,0,0,1,2,7,0,0,0,2,0,0,0
ศรีบรรพต,ตะแพน,5,partylist,election_day,376,369,5,2,0,1,0,0,2,0,2,0,0,50,0,227,0,0,0,0,0,8,0,0,0,0,0,1,36,0,1,3,4,0,2,0,1,0,0,1,0,2,0,11,5,1,0,2,0,0,0,0,0,6,0,0,0,2,0,1,0
ศรีบรรพต,ตะแพน,6,partylist,election_day,614,602,6,6,0,0,0,0,0,0,1,0,0,65,0,435,3,1,1,0,2,5,0,0,0,0,0,0,46,2,1,1,4,0,1,1,0,0,0,0,2,0,2,16,5,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0
ศรีบรรพต,ตะแพน,7,partylist,election_day,343,336,5,2,0,2,0,0,1,0,1,1,0,32,1,202,5,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,1,0,1,0,0,0,1,3,4,28,1,2,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0
ศรีบรรพต,ตะแพน,8,partylist,election_day,339,320,12,7,0,1,0,0,0,0,2,0,1,54,0,196,2,0,0,1,0,2,0,0,0,0,0,0,36,0,1,0,8,0,0,0,1,0,0,0,0,1,0,7,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
ควนขนุน,ทะเลน้อย,0,partylist,election_day,614,578,30,6,0,2,0,1,1,0,4,0,0,56,0,287,6,0,2,0,1,10,1,0,0,2,1,0,110,1,1,2,4,1,1,0,2,0,0,0,6,1,1,59,2,1,0,0,0,0,0,0,0,7,0,0,0,2,0,2,1
ควนขนุน,ทะเลน้อย,1,partylist,election_day,330,314,12,4,0,0,0,0,3,0,0,0,0,46,0,130,0,0,0,0,0,4,1,0,0,0,1,0,98,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,1,0,0,0,7,0,2,0,1,0,0,0
ควนขนุน,ทะเลน้อย,2,partylist,election_day,341,320,17,4,0,0,0,2,0,0,2,0,0,41,0,138,1,0,2,0,0,1,1,0,0,0,0,0,63,0,1,1,1,0,1,0,0,0,0,1,0,0,0,49,3,0,0,1,0,1,0,0,0,7,0,0,0,3,0,0,0
ควนขนุน,ทะเลน้อย,3,partylist,election_day,377,355,18,4,0,0,0,2,2,0,0,0,0,30,1,131,8,0,0,0,0,1,0,0,0,0,0,0,139,1,1,2,1,0,0,1,1,0,0,0,2,1,0,17,2,1,0,0,0,2,0,2,1,6,0,0,0,0,0,0,0
ควนขนุน,ทะเลน้อย,4,partylist,election_day,508,476,29,3,0,1,0,0,0,0,0,1,0,58,1,202,4,0,1,1,0,1,3,0,0,2,0,0,110,0,2,1,2,1,0,1,1,0,0,0,1,0,0,56,9,2,0,1,0,0,0,1,1,8,0,2,0,2,0,0,0
ควนขนุน,ทะเลน้อย,5,partylist,election_day,296,278,15,3,0,2,0,0,0,0,1,0,0,21,0,138,2,0,1,0,0,2,2,0,0,0,0,0,64,1,0,1,4,0,2,1,0,0,0,0,2,1,0,24,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
ควนขนุน,ทะเลน้อย,6,partylist,election_day,337,315,17,5,0,1,0,0,0,0,0,0,0,27,1,173,8,0,0,0,0,2,1,0,0,0,0,0,64,0,2,1,1,0,0,1,0,0,0,0,3,0,1,22,0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0
ควนขนุน,ทะเลน้อย,7,partylist,election_day,456,429,19,8,0,4,0,0,0,0,0,0,0,55,1,230,4,0,0,1,1,1,0,1,0,0,1,0,84,0,0,6,2,0,0,0,0,0,0,2,4,1,2,13,5,0,0,2,0,1,0,1,1,4,0,0,0,2,0,0,0
ควนขนุน,ทะเลน้อย,8,partylist,election_day,408,382,19,7,0,5,0,0,2,0,1,1,1,49,0,164,1,0,1,0,0,2,0,0,0,0,0,0,99,0,1,2,1,0,1,0,0,0,0,1,0,0,4,22,7,1,0,0,0,1,1,2,0,6,0,3,0,2,0,1,0
ควนขนุน,ทะเลน้อย,9,partylist,election_day,387,356,29,2,0,1,0,1,1,0,0,0,1,36,2,148,3,0,0,1,0,3,1,0,0,1,0,0,115,0,1,1,2,0,1,0,0,0,0,1,3,0,1,17,6,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0
ควนขนุน,นาขยาด,0,partylist,election_day,681,648,21,12,0,2,0,0,2,0,0,0,1,106,0,366,4,0,2,1,0,4,0,0,0,0,0,0,93,0,0,2,7,0,0,0,0,0,0,0,3,2,0,34,5,0,0,0,0,0,0,2,3,2,0,0,0,6,0,1,0
